республика,фио,пол,год рождения,был срок до,два срока до,партия,год кампании,религия,национальность ,национальнось региона,избран,,путинская рука
Ингушетия ,Русла́н Султа́нович А́ушев,М,1954,1,0,0,1993,1,1,ингуши ,1,,
Ингушетия ,Русла́н Султа́нович А́ушев,М,1954,1,1,0,1994,1,1,ингуши ,1,,
Ингушетия ,Русла́н Султа́нович А́ушев,М,1954,1,1,0,1998,1,1,ингуши ,1,,
Ингушетия ,Исса́ Магоме́тович Косто́ев,М,1942,0,0,0,1998,0,1,ингуши ,0,,
Ингушетия ,Мухарбе́к Измаи́лович А́ушев,М,1962,0,0,Единая Россия,1998,0,1,ингуши ,0,,
Ингушетия ,"Султыгов, Магомед Асхабович",М,1944,0,0,0,1998,0,1,ингуши ,0,,
Ингушетия ,Оздоев Борис Османович,М,1944,0,0,0,1998,0,1,ингуши ,0,,
Ингушетия ,Гулаев Ибрагим Берсалиевич,М,1959,0,0,0,1998,0,1,ингуши ,0,,
Ингушетия ,Мура́т Магоме́тович Зя́зиков,М,1957,0,0,0,2002,1,1,ингуши ,1,,
Ингушетия ,Алихан Хусейнович Амирханов,М,1956,0,0,Единая Россия,2002,0,0,ингуши ,0,,
Ингушетия ,Мухарбе́к Измаи́лович А́ушев,М,1962,0,0,Единая Россия,2002,0,1,ингуши ,0,,
Ингушетия ,Ахмед Исаевич Мальсагов,М,1960,0,0,0,2002,0,1,ингуши ,0,,
Ингушетия ,Белан Багаудинович Хамчиев,М,1960,0,0,Единая Россия,2002,0,1,ингуши ,0,,
Ингушетия ,Маскуров Руслан Шахангиреевич,М,1949,0,0,0,2002,0,1,ингуши ,0,,
Ингушетия ,Гулаев Ибрагим Берсалиевич,М,1959,0,0,0,2002,0,1,ингуши ,0,,
Ингушетия ,Мура́т Магоме́тович Зя́зиков,М,1957,1,0,0,2005,1,1,ингуши ,1,,
Ингушетия ,Юну́с-Бек Баматгире́евич Евку́ров,М,1963,0,0,Единая Россия,2008,1,1,ингуши ,1,,
Ингушетия ,Юну́с-Бек Баматгире́евич Евку́ров,М,1963,1,0,Единая Россия,2013,1,1,ингуши ,1,,
Ингушетия ,Махмуд-Али Макшарипович Калиматов,М,1959,0,0,Единая Россия,2019,1,0,ингуши ,1,,
Ингушетия ,Евлоев Урусхан Хасанович,М,1972,0,0,Справедливая Россия,2019,0,1,ингуши ,0,,
