республика,фио,пол,год рождения,был срок до,два срока до,партия,год кампании,религия,национальность ,национальнось региона,избран,,путинская рука
Коми,Спиридонов Юрий Алексеевич,М,1938,0,0,Единая Россия,1994,0,0,коми,1,,
Коми,Худяев Вячеслав Иванович,М,1945,0,0,0,1994,0,0,коми,0,,
Коми,Спиридонов Юрий Алексеевич,М,1938,1,0,Единая Россия,1997,0,0,коми,1,,
Коми,  Рита Васильевна Чистоходова ,Ж,1939,0,0,КПРФ,1997,0,0,коми,0,,
Коми,Василий Павлович Кузнецов,М,1945,0,0,0,1997,0,0,коми,0,,
Коми,Спиридонов Юрий Алексеевич,М,1938,1,1,Единая Россия,2001,0,0,коми,0,,
Коми,Влади́мир Алекса́ндрович То́рлопов,М,1949,0,0,Единая Россия,2001,0,1,коми,1,,
Коми,Влади́мир Алекса́ндрович То́рлопов,М,1949,1,0,Единая Россия,2005,0,1,коми,1,,1
Коми,Вячеслав Михайлович Гайзер,М,1966,0,0,Единая Россия,2010,0,1,коми,1,,1
Коми,Вячеслав Михайлович Гайзер,М,1966,1,0,Единая Россия,2014,0,1,коми,1,,
Коми,Андрей Анатольевич Андреев,М,1976,0,0,КПРФ,2014,0,0,коми,0,,
Коми,Михаил Брагин Анатольевич,М,1967,0,0,ЛДПР,2014,0,0,коми,0,,
Коми,Серге́й Анато́льевич Га́пликов,М,1970,0,0,Единая Россия,2015,0,0,коми,1,,1
Коми,Филипченко Иван Сергеевич,М,1970,0,0,ЛДПР,2015,0,0,коми,0,,
Коми,Владимир Викторович Уйба,М,1958,0,0,Единая Россия,2020,0,0,коми,1,,1
Коми,"Бетехтин Виктор Васильевич
",М,1990,0,0,Зеленая альтернатива,2020,0,0,коми,0,,
Марий Эл,Владислав Максимович Зотин,М,1942,0,0,0,1991,0,1,марийцы,1,,
Марий Эл,Зотин Владислав Максимович,М,1942,1,0,0,1996,0,1,марийцы,1,,
Марий Эл,Кислицын Вячеслав Александрович.,М,1948,0,0,КПРФ,1996,0,0,марийцы,0,,
Марий Эл,Максимов Геннадий Васильевич.,М,1952,0,0,0,1996,0,1,марийцы,0,,
Марий Эл,Маркелов Леонид Игоревич,М,1963,0,0,0,1996,0,0,марийцы,0,,
Марий Эл,Попов Анатолий Геннадьевич,М,1948,0,0,0,1996,0,1,марийцы,0,,
Марий Эл,Вячеслав Александрович Кислицын,М,1948,0,0,КПРФ,1997,0,0,марийцы,1,,
Марий Эл,Леони́д И́горевич Марке́лов,М,1963,0,0,ЛДПР,2000,0,0,марийцы,1,,
Марий Эл,Кислицын Вячеслав Александрович.,М,1948,1,0,КПРФ,2000,0,0,марийцы,0,,
Марий Эл,Леони́д И́горевич Марке́лов,М,1963,1,0,ЛДПР,2004,0,0,марийцы,1,,
Марий Эл,Долгов Михаил Алексеевич,М,1965,0,0,0,2004,0,0,марийцы,0,,
Марий Эл,Леони́д И́горевич Марке́лов,М,1963,1,1,Единая Россия,2009,0,0,марийцы,1,,1
Марий Эл,Леони́д И́горевич Марке́лов,М,1963,1,1,Единая Россия,2015,0,0,марийцы,1,,1
Марий Эл,Серге́й Павли́нович Мама́ев,М,1958,0,0,КПРФ,2015,0,0,марийцы,0,,
Марий Эл,Кирилл Игоревич Черкасов,М,1963,0,0,ЛДПР,2015,0,0,марийцы,0,,
Марий Эл,Александр Александрович Евстифеев,М,1958,0,0,Единая Россия,2017,0,0,марийцы,1,,
Марий Эл,Федоров Альберт Иванович,М,1975,0,0,ЛДПР,2017,0,1,марийцы,0,,
